CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
ADD,Hospitalization,2012,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,6,3.62673630000363,3.68183913206722,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,6,5.40896265111289,6.04115434954079,5,9.3226185370947,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,5,5.72180580191108,5.90242872547688,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,6,6.55988629530421,6.4226077008995,,,,,6,13.3654103180968,,,,,,,,,5,24.8003571251426,,,,,,,,
ADD,Hospitalization,2012,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,29,6.12662249864792,5.96096678311479,24,10.1991381728244,5,2.10057555770281,14,14.7564137698421,,,10,3.49662575614532,,,,,24,23.5017626321974,5,6.06067952338816,,,,,,
ADD,Hospitalization,2012,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,12,10.291330411739,10.2977142709052,11,19.5945705226406,,,6,29.382957884427,,,6,7.15819613457409,,,,,10,40.3648986841043,,,,,,,,
ADD,Hospitalization,2012,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,5,3.68753318779869,3.72250920621931,5,7.33374402299862,,,,,,,,,,,,,5,16.5343915343915,,,,,,,,
ADD,Hospitalization,2012,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,8,5.74671359816105,5.32600454884849,5,7.38486987859274,,,,,,,,,,,,,7,22.0778401564373,,,,,,,,
ADD,Hospitalization,2012,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,99,3.13830013180861,3.38725170213568,75,4.74815470880833,24,1.5237969464379,51,3.43455158898519,16,12.0012901386899,17,1.61147522025075,,,7,5.79096278892768,74,12.2430409066468,24,4.74474272621055,,,,,,
ADD,Hospitalization,2013,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,10,2.04048318641854,2.27258763007401,7,2.79758288838444,,,,,,,5,2.31371151719319,,,,,8,8.59318775041086,,,,,,,,
ADD,Hospitalization,2013,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,5,2.97973778307509,4.87106095679328,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,East Region,99,99,REGION EAST,99,,99,,99,East Region,18,3.81588766026728,4.18258266677916,14,6.02109102169313,,,10,3.60494165401933,,,,,,,,,14,15.6370419184417,,,,,,,,
ADD,Hospitalization,2013,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,9,6.37578900388923,6.80926882298059,7,10.1021762974081,,,6,7.09756790006624,,,,,,,,,7,25.3834717336911,,,,,,,,
ADD,Hospitalization,2013,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,29,4.68821737809018,6.14457952635633,19,6.08295875113655,10,3.26558336381211,15,4.11671716506389,,,,,,,,,23,23.7429158365249,6,5.82428142927866,,,,,,
ADD,Hospitalization,2013,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,6,3.72717107715244,3.91151820760337,5,6.21875077734385,,,,,,,,,,,,,5,16.0462130937099,,,,,,,,
ADD,Hospitalization,2013,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,10,11.0454520351245,12.9389876985918,6,13.6307874051524,,,6,10.0315995385464,,,,,,,,,8,46.2027144094716,,,,,,,,
ADD,Hospitalization,2013,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,11,7.1539597167032,9.98677752456392,8,10.4568328867394,,,5,5.97093349574272,,,,,,,,,9,35.799522673031,,,,,,,,
ADD,Hospitalization,2013,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,13,2.53507668606975,2.74036087368262,13,5.00506281353831,,,11,3.71160179236625,,,,,,,,,11,10.6560235594994,,,,,,,,
ADD,Hospitalization,2013,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,7,4.33356032935058,4.85818155811958,7,8.74300559552358,,,7,9.59022345220644,,,,,,,,,7,19.9214525584837,,,,,,,,
ADD,Hospitalization,2013,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,10,1.7108376432185,1.68229492425955,10,3.47237896155035,,,8,2.5660929310555,,,,,,,,,5,4.20274018660166,,,,,,,,
ADD,Hospitalization,2013,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,19,3.98409716164531,3.76979883395028,12,5.06848794333431,7,2.9149784083385,6,6.38685160150304,7,40.2137071293158,5,1.72048930715896,,,,,13,12.6547776652909,6,7.12961642663625,,,,,,
ADD,Hospitalization,2013,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,8,6.87397427415128,6.4759904486727,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,5,3.52256555494498,3.23001470517352,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2013,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
